timestamp,person_id,body_height,shoulder_body_ratio,role
1766266404.7676299,1,206.82,1.51,CHILD
1766266404.9947746,1,206.99,1.616,CHILD
1766266405.1918535,1,203.6,1.812,CHILD
1766266405.384684,1,198.76,1.826,CHILD
1766266405.5604196,1,188.47,2.073,CHILD
1766266405.7534838,1,176.07,2.16,CHILD
1766266405.9295893,1,167.74,2.185,CHILD
1766266406.1096902,1,165.84,2.17,CHILD
1766266406.2942395,1,172.65,2.282,CHILD
1766266406.4782789,1,170.49,2.244,CHILD
1766266406.6663647,1,171.57,2.106,CHILD
1766266406.862043,1,247.64,1.366,CHILD
1766266407.0561512,1,304.71,1.17,CHILD
1766266407.234269,1,294.28,1.321,CHILD
1766266407.410337,1,306.41,1.266,CHILD
1766266407.5900865,1,288.12,1.34,CHILD
1766266407.7842677,1,279.84,1.381,CHILD
1766266407.9623675,1,198.55,1.911,CHILD
1766266408.1474822,1,184.48,2.067,CHILD
1766266408.3305793,1,214.92,1.714,CHILD
1766266408.5076458,1,245.38,1.578,CHILD
1766266408.6881838,1,280.74,1.342,CHILD
1766266408.8652842,1,286.69,1.29,CHILD
1766266409.0433757,1,262.65,1.392,CHILD
1766266409.227439,1,255.84,1.312,CHILD
1766266409.4185011,1,256.87,1.312,CHILD
1766266409.60307,1,261.49,1.26,CHILD
1766266409.6060753,4,278.54,0.128,CHILD
1766266409.7961533,1,254.3,1.208,CHILD
1766266410.0035315,1,248.7,1.211,CHILD
1766266410.1961708,1,239.03,1.208,CHILD
1766266410.3958175,1,221.28,1.301,CHILD
1766266410.5859094,1,205.94,1.335,CHILD
1766266410.7789717,1,190.93,1.413,CHILD
1766266410.9650543,1,182.36,1.393,CHILD
1766266411.1601334,1,175.41,1.42,CHILD
1766266411.3302162,1,170.47,1.483,CHILD
1766266411.5047624,1,166.22,1.478,CHILD
1766266411.6887994,1,160.83,1.49,CHILD
1766266411.871881,1,161.26,1.623,CHILD
1766266412.098087,1,154.8,1.713,CHILD
1766266412.311463,1,148.13,1.802,CHILD
1766266412.52317,1,143.2,1.723,CHILD
1766266412.696704,1,145.74,1.822,CHILD
1766266412.880796,1,151.42,1.735,CHILD
1766266413.0668778,1,170.34,1.702,CHILD
1766266413.2579334,1,197.7,1.45,CHILD
1766266413.438992,1,208.06,1.477,CHILD
1766266413.6320374,1,218.92,1.515,CHILD
1766266413.8085866,1,222.79,1.508,CHILD
1766266413.994635,1,225.09,1.541,CHILD
1766266414.164732,1,223.66,1.528,CHILD
1766266414.3358195,1,223.89,1.61,CHILD
1766266414.5218995,1,213.51,1.687,CHILD
1766266414.7135007,1,210.64,1.69,CHILD
1766266414.8934681,1,210.88,1.608,CHILD
1766266415.1357026,1,200.18,1.708,CHILD
1766266415.3237598,1,193.54,1.752,CHILD
1766266415.5138056,1,179.23,1.862,CHILD
1766266415.697357,1,171.03,1.975,CHILD
1766266517.1085765,1,186.06,0.13,CHILD
1766266517.1105826,2,101.44,0.058,ADULT
1766266517.4112651,1,135.19,0.407,CHILD
1766266517.5963347,1,126.76,0.466,CHILD
1766266517.7714164,1,142.96,0.42,CHILD
1766266517.9649413,1,134.09,0.459,CHILD
1766266518.1724908,1,138.13,0.41,CHILD
1766266518.3600264,1,140.02,0.423,CHILD
1766266518.5380647,1,131.21,0.463,CHILD
1766266518.704133,1,134.19,0.447,CHILD
1766266518.893198,1,132.35,0.454,CHILD
1766266519.0742502,1,134.08,0.445,CHILD
1766266519.2820268,1,135.61,0.42,CHILD
1766266519.285027,2,21.97,1.104,ADULT
1766266519.4752955,1,133.79,0.46,CHILD
1766266519.651823,1,134.75,0.475,CHILD
1766266519.845891,1,133.16,0.45,CHILD
1766266520.0660503,1,130.63,0.396,CHILD
1766266520.287691,1,140.27,0.267,CHILD
1766266520.463225,1,150.7,0.213,CHILD
1766266520.6552792,1,151.26,0.198,CHILD
1766266520.8443325,1,153.86,0.186,CHILD
1766266521.0553994,1,155.12,0.179,CHILD
1766266521.293965,1,149.66,0.238,CHILD
1766266521.4890463,1,138.6,0.22,CHILD
1766266521.6835248,1,143.13,0.188,CHILD
1766266521.8724933,1,143.12,0.166,CHILD
1766266522.0510309,1,141.96,0.183,CHILD
1766266522.2400975,1,145.52,0.162,CHILD
1766266522.4281588,1,147.12,0.152,CHILD
1766266522.609204,1,155.01,0.144,CHILD
1766266522.7832778,1,154.31,0.124,CHILD
1766266522.9568195,1,155.44,0.113,CHILD
1766266523.1558862,1,153.93,0.16,CHILD
1766266523.3509505,1,167.29,0.167,CHILD
1766266523.553039,1,164.13,0.134,CHILD
1766266523.7540853,1,173.51,0.104,CHILD
1766266523.9601977,1,175.18,0.142,CHILD
1766266524.146309,1,170.28,0.128,CHILD
1766266524.3544064,1,130.46,0.401,CHILD
1766266524.543486,1,131.85,0.368,CHILD
1766266524.7216156,1,130.62,0.423,CHILD
1766266524.918667,1,128.46,0.409,CHILD
1766266525.1207511,1,138.39,0.321,CHILD
1766266525.3308444,1,204.14,0.317,CHILD
1766266525.7650235,4,123.54,0.203,CHILD
1766266525.9450834,4,126.78,0.207,CHILD
1766266525.9470835,5,187.97,0.294,CHILD
1766266526.1321788,4,105.17,0.301,ADULT
1766266526.1331775,5,183.32,0.118,CHILD
1766266526.3321187,4,109.52,0.418,ADULT
1766266526.5386846,4,126.65,0.138,CHILD
1766266526.5396895,5,77.6,0.365,ADULT
1766266526.7298002,4,122.26,0.229,CHILD
1766266526.731803,5,167.95,0.467,CHILD
1766266526.919419,4,124.85,0.072,CHILD
1766266526.9214194,5,165.39,0.4,CHILD
1766266527.1274936,5,135.53,0.297,CHILD
1766266527.3305836,5,132.2,0.195,CHILD
1766266527.5126624,5,130.76,0.115,CHILD
1766266527.5136633,8,118.79,1.026,ADULT
1766266527.714791,8,112.07,0.787,ADULT
1766266527.716794,4,275.11,0.556,CHILD
1766266527.9039216,8,123.24,0.749,CHILD
1766266527.9069238,9,136.28,0.049,CHILD
1766266527.90892,4,264.17,0.582,CHILD
1766266528.0970309,8,121.92,0.699,CHILD
1766266528.099033,9,131.21,0.027,CHILD
1766266528.1000307,4,264.74,0.583,CHILD
1766266528.2971241,5,110.5,0.304,ADULT
1766266528.4862077,5,104.27,0.523,ADULT
1766266528.6930194,4,120.56,0.468,CHILD
1766266528.8882244,4,158.59,0.553,CHILD
1766266529.0687573,4,66.88,0.937,ADULT
1766266529.243804,4,86.31,0.671,ADULT
1766266529.4298623,4,87.71,0.75,ADULT
1766266529.4308631,15,127.11,0.44,CHILD
1766266529.6229799,4,100.34,0.705,ADULT
1766266529.623984,15,128.67,0.338,CHILD
1766266529.801064,15,128.5,0.328,CHILD
1766266529.8030643,5,96.32,0.715,ADULT
1766266529.9781315,15,133.2,0.284,CHILD
1766266530.2012703,15,131.86,0.308,CHILD
1766266530.203273,5,115.16,0.583,ADULT
1766266530.3863275,15,138.18,0.182,CHILD
1766266530.3883324,5,142.18,0.489,CHILD
1766266530.599406,5,216.72,0.411,CHILD
1766266530.792491,5,208.18,0.402,CHILD
1766266530.9730523,5,125.5,0.228,CHILD
1766266531.1706183,5,116.67,0.24,ADULT
1766266531.3708954,5,115.7,0.316,ADULT
1766266531.3728988,9,175.24,0.112,CHILD
1766266531.9661067,5,157.04,0.597,CHILD
1766266532.1521652,5,131.41,0.889,CHILD
1766266532.3512504,5,145.28,0.802,CHILD
1766266532.5433583,5,139.41,0.898,CHILD
1766266532.7334342,5,167.19,0.688,CHILD
1766266532.9255173,5,202.36,0.579,CHILD
1766266533.3287125,5,115.88,0.835,ADULT
1766266533.53774,5,150.72,0.484,CHILD
1766266533.7357953,5,138.97,0.35,CHILD
1766266533.9088926,5,145.7,0.299,CHILD
1766266533.910894,19,112.37,0.014,ADULT
1766266534.0949323,5,135.77,0.39,CHILD
1766266534.2474532,19,155.51,0.046,CHILD
1766266534.471524,5,168.45,0.512,CHILD
1766266534.473525,19,138.77,0.025,CHILD
1766266534.671691,5,234.79,0.652,CHILD
1766266534.8516364,19,147.8,0.227,CHILD
1766266535.0447266,15,270.57,1.121,CHILD
1766266535.2338283,15,168.02,0.555,CHILD
1766266536.236728,15,200.88,0.336,CHILD
1766266536.4538074,15,200.15,0.202,CHILD
1766266536.6368873,15,218.6,0.137,CHILD
1766266536.8189957,15,233.52,0.379,CHILD
1766266536.9920738,15,199.88,0.4,CHILD
1766266537.1811488,15,191.96,0.579,CHILD
1766266537.377716,15,260.64,0.382,CHILD
1766266537.7668312,15,223.09,0.366,CHILD
1766266539.1625543,15,164.88,1.587,CHILD
1766266539.3646336,15,147.56,1.911,CHILD
1766266539.5496962,15,151.44,1.9,CHILD
1766266539.728762,15,145.44,1.921,CHILD
1766266539.9118376,15,153.02,1.835,CHILD
1766266540.1069036,15,157.9,1.712,CHILD
1766266540.3049374,15,143.64,2.043,CHILD
1766266540.5330257,15,215.99,1.203,CHILD
1766266540.9694486,15,180.48,0.37,CHILD
1766266541.1434999,15,179.87,0.544,CHILD
1766266541.3285587,15,148.94,0.302,CHILD
1766266541.6956408,15,293.1,0.021,CHILD
1766266541.8866787,15,134.31,2.184,CHILD
1766266542.0792232,15,134.07,2.09,CHILD
1766266542.258302,15,134.47,2.169,CHILD
1766266542.4413862,15,149.96,1.809,CHILD
1766266542.6254501,15,137.26,2.018,CHILD
1766266542.6264477,22,294.03,0.022,CHILD
1766266542.8195167,15,138.18,2.162,CHILD
1766266542.8205178,22,349.69,0.007,CHILD
1766266543.054831,15,134.94,1.983,CHILD
1766266543.0580528,22,263.27,0.062,CHILD
1766266543.286517,15,138.43,1.846,CHILD
1766266543.4770603,15,141.56,1.792,CHILD
1766266543.8441687,15,138.72,1.618,CHILD
1766266544.0403376,15,126.51,1.53,CHILD
1766266545.1271663,22,144.11,0.339,CHILD
1766266545.6979985,22,210.08,0.204,CHILD
1766266545.8820515,22,242.71,0.253,CHILD
1766266546.0595949,22,227.81,0.273,CHILD
1766266546.2386808,22,242.07,0.168,CHILD
1766266546.7704186,22,217.91,0.257,CHILD
1766266546.9425337,22,270.25,0.351,CHILD
1766266547.1616259,22,291.46,0.404,CHILD
